"","ID","handedness","block1_domHand_RT","block2_nonDomHand_RT","block3_domHand_RT","block4_nonDomHand_RT","block5_domHand_RT","block6_nonDomHand_RT","mean_domHand_RT","mean_nonDomHand_RT","mean_RT","block1_domHand_nTaps","block2_nonDomHand_nTaps","block3_domHand_nTaps","block4_nonDomHand_nTaps","block5_domHand_nTaps","block6_nonDomHand_nTaps","mean_domHand_nTaps","mean_nonDomHand_nTaps","mean_nTaps"
"1","301001","RIGHT",176.378627449238,199.907777776631,188.253367350589,208.823522719533,180.276099992916,194.681595735985,181.636031597581,201.137632077383,191.386831837482,51,45,49,44,50,47,50,45.3333333333333,47.6666666666667
"2","301002","RIGHT",135.29082088481,112.15401235048,117.344480518905,116.48506409405,121.895810828318,128.376857158063,124.843704077344,119.005311200865,121.924507639104,67,81,77,78,74,70,72.6666666666667,76.3333333333333,74.5
