"","ID","handedness","block","rt"
"8","301001","dom","block1","194.080000044778"
"9","301001","dom","block1","172.7649999083951"
"10","301001","dom","block1","175.6699999095872"
"11","301001","dom","block1","168.13000000547618"
"12","301001","dom","block1","86.22000005561858"
"13","301001","dom","block1","142.63500005472451"
"14","301001","dom","block1","149.5100000174716"
"15","301001","dom","block1","160.15500004868954"
"16","301001","dom","block1","127.04499997198582"
"17","301001","dom","block1","141.02500001899898"
"18","301001","dom","block1","152.280000038445"
"19","301001","dom","block1","134.21499996911734"
"20","301001","dom","block1","151.1849999660626"
"21","301001","dom","block1","133.5500000277534"
"22","301001","dom","block1","152.46000001206994"
"23","301001","dom","block1","190.05999993532896"
"24","301001","dom","block1","182.5699999462813"
"25","301001","dom","block1","174.7299999697134"
"26","301001","dom","block1","198.3849999960512"
"27","301001","dom","block1","157.9749999800697"
"28","301001","dom","block1","173.21999999694526"
"29","301001","dom","block1","199.51499998569489"
"30","301001","dom","block1","359.27999997511506"
"31","301001","dom","block1","207.84499996807426"
"32","301001","dom","block1","173.64500008989125"
"33","301001","dom","block1","175.49499997403473"
"34","301001","dom","block1","224.27000000607222"
"35","301001","dom","block1","166.69500002171844"
"36","301001","dom","block1","174.2450000019744"
"37","301001","dom","block1","174.4549999712035"
"38","301001","dom","block1","174.67500001657754"
"39","301001","dom","block1","174.2100000847131"
"40","301001","dom","block1","183.61999990884215"
"41","301001","dom","block1","166.3800000678748"
"42","301001","dom","block1","173.68000000715256"
"43","301001","dom","block1","176.355000003241"
"44","301001","dom","block1","229.82499992940575"
"45","301001","dom","block1","176.2200000230223"
"46","301001","dom","block1","134.25999996252358"
"47","301001","dom","block1","173.45999996177852"
"48","301001","dom","block1","192.19000008888543"
"49","301001","dom","block1","166.22500005178154"
"50","301001","dom","block1","181.62999988999218"
"51","301001","dom","block1","192.48500000685453"
"52","301001","dom","block1","214.09500006120652"
"53","301001","dom","block1","181.54499994125217"
"54","301001","dom","block1","176.51999997906387"
"55","301001","dom","block1","197.2550000064075"
"56","301001","dom","block1","192.58999999146909"
"57","301001","dom","block1","174.51000004075468"
"58","301001","dom","block1","190.27000002097338"
"63","301001","nonDom","block2","228.61500002909452"
"64","301001","nonDom","block2","166.3399999961257"
"65","301001","nonDom","block2","150.20500007085502"
"66","301001","nonDom","block2","181.67499999981374"
"67","301001","nonDom","block2","168.30499994102865"
"68","301001","nonDom","block2","165.64999998081475"
"69","301001","nonDom","block2","240.22499995771796"
"70","301001","nonDom","block2","124.2299999576062"
"71","301001","nonDom","block2","198.6100000794977"
"72","301001","nonDom","block2","197.65999994706362"
"73","301001","nonDom","block2","112.15000005904585"
"74","301001","nonDom","block2","197.45499989949167"
"75","301001","nonDom","block2","104.53999997116625"
"76","301001","nonDom","block2","302.8049999848008"
"77","301001","nonDom","block2","197.63499998953193"
"78","301001","nonDom","block2","183.530000038445"
"79","301001","nonDom","block2","184.209999977611"
"80","301001","nonDom","block2","182.6850000070408"
"81","301001","nonDom","block2","174.33000006712973"
"82","301001","nonDom","block2","174.9550000531599"
"83","301001","nonDom","block2","302.0399999804795"
"84","301001","nonDom","block2","406.9950000848621"
"85","301001","nonDom","block2","302.3849999299273"
"86","301001","nonDom","block2","117.50000005122274"
"87","301001","nonDom","block2","184.45499998051673"
"88","301001","nonDom","block2","197.4900000495836"
"89","301001","nonDom","block2","184.65999991167337"
"90","301001","nonDom","block2","182.38500005099922"
"91","301001","nonDom","block2","174.56499999389052"
"92","301001","nonDom","block2","223.42499997466803"
"93","301001","nonDom","block2","182.90500005241483"
